created_at,entry_id,field1,field2,field3,field4,field5,field6,field7,field8,latitude,longitude,elevation,status
2025-09-26T02:14:06+00:00,1,30.41,1013.17,65.80,388.0,249.6,2.29,1,0,,,,
2025-09-26T02:14:36+00:00,2,30.35,1013.24,64.57,366.8,290.8,3.08,1,0,,,,
2025-09-26T02:14:51+00:00,3,31.03,1013.24,63.87,353.7,294.7,3.29,1,0,,,,
2025-09-26T02:15:06+00:00,4,31.08,1012.66,66.16,360.8,256.4,3.64,1,0,,,,
2025-09-26T02:15:36+00:00,5,30.99,1013.14,65.41,382.7,281.8,3.81,1,0,,,,
2025-09-26T02:16:06+00:00,6,31.69,1012.52,65.70,370.3,254.4,4.32,2,0,,,,
2025-09-26T02:16:22+00:00,7,32.09,1012.70,62.91,339.8,273.0,4.36,2,0,,,,
2025-09-26T02:16:51+00:00,8,31.73,1012.53,65.22,369.6,242.3,4.59,1,0,,,,
2025-09-26T02:17:06+00:00,9,32.49,1013.49,63.66,382.5,303.1,4.56,2,0,,,,
2025-09-26T02:17:22+00:00,10,32.42,1012.71,67.80,387.1,318.0,4.43,2,0,,,,
2025-09-26T02:17:51+00:00,11,32.22,1013.24,62.82,368.0,316.5,4.39,1,0,,,,
2025-09-26T02:18:06+00:00,12,32.41,1013.29,65.84,360.7,266.6,4.20,1,0,,,,
2025-09-26T02:18:21+00:00,13,32.41,1013.34,67.74,382.2,270.3,4.12,2,0,,,,
2025-09-26T02:18:37+00:00,14,32.29,1013.05,64.55,377.2,260.2,3.63,2,0,,,,
2025-09-26T02:19:07+00:00,15,32.13,1012.99,64.02,363.3,256.2,3.34,1,0,,,,
